Project Number,Project Number Sequence,Plan Series,Capital Plan,Agency Name,Category Description,Element Description,Project Description,Latitude,Longitude,Location Indicator,Location
T70412G2,1,7,Capital Plan 2015 - 2019,New York City Transit,PASSENGER STATIONS,STATION WORK,Repair Subway Street Stair at Winthrop Street on the Nostrand Line (SBMP),40.657086,-73.950288,base,"(40.657086, -73.950288)"
U8030219,2,8,Capital Plan 2020 - 2024,Mta Bus Company,BUS COMPANY PROJECTS,BUS COMPANY PROJECTS,Generator Replacement at Spring Creek and College Point Depots,40.773605,-73.84154,multilocation,"(40.773605, -73.84154)"
T7080610,51,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Help Point at 64 Stations (Transit Wireless),40.804359,-73.93743,multilocation,"(40.804359, -73.93743)"
ET040325,6,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,PASSENGER STATIONS,STATION MITIGATION: SANDY,Mitigation: Internal Station Hardening,40.823582,-73.935832,multilocation,"(40.823582, -73.935832)"
T6040709,2,6,Capital Plan 2010 - 2014,New York City Transit,PASSENGER STATIONS,STATION ESCALATORS/ELEVATORS,Replace 12 Traction Elevators on the Broadway/7th Avenue Line - Design Only,40.849545,-73.933417,multilocation,"(40.849545, -73.933417)"
T7041257,5,7,Capital Plan 2015 - 2019,New York City Transit,PASSENGER STATIONS,STATION WORK,Repair of Street Stairs at 9 Locations (SBMP) - Design Only,40.738345,-73.996105,multilocation,"(40.738345, -73.996105)"
T6080633,1,6,Capital Plan 2010 - 2014,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Help Point at 121 Street Station and Cypress Hills Station on the Jamaica Line,40.689986,-73.872466,multilocation,"(40.689986, -73.872466)"
T6080623,2,6,Capital Plan 2010 - 2014,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Passenger Station Local Area Network at 68 Stations,40.719501,-74.001774,multilocation,"(40.719501, -74.001774)"
D604VN87,1,6,Capital Plan 2010 - 2014,Bridges And Tunnels,Utilities,Verrazano-Narrows Bridge,Rehabilitation of Electrical Substation #1 at the Verrazano-Narrows Bridge,40.601152,-74.064125,base,"(40.601152, -74.064125)"
L60502LE,1,6,Capital Plan 2010 - 2014,Long Island Rail Road,COMMUNICATIONS AND SIGNALS,SIGNAL IMPROVEMENTS,Supervisory Control and Remote Terminal Unit,40.7671183,-73.5285119,base,"(40.7671183, -73.5285119)"
T6080631,20,6,Capital Plan 2010 - 2014,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,"Integrated Service Information & Management B-Division, Module 2",40.755304,-73.987261,multilocation,"(40.755304, -73.987261)"
T8041238,21,8,Capital Plan 2020 - 2024,New York City Transit,PASSENGER STATIONS,STATION WORK,"Station Components: 43 Locations, Phase 1",40.718507,-74.000645,multilocation,"(40.718507, -74.000645)"
T5080615,31,5,Capital Plan 2005 - 2009,New York City Transit,SIGNALS AND COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Public Address / Customer Information Screens - Phase 3,40.756726,-73.929657,multilocation,"(40.756726, -73.929657)"
T7080640,40,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,B-Division Beacon Train Arrival System - Phase 2,40.683763,-73.9787,multilocation,"(40.683763, -73.9787)"
ET040316,2,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,PASSENGER STATIONS,STATION MITIGATION: SANDY,Mitigation: Stair Cover/Marine Doors at Subway Station Entrances in Lower Manhattan,40.707286,-74.013165,multilocation,"(40.707286, -74.013165)"
T6080662,33,6,Capital Plan 2010 - 2014,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Upgrade Access Nodes at 60 Stations,40.669915,-73.950466,multilocation,"(40.669915, -73.950466)"
T6080622,2,6,Capital Plan 2010 - 2014,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Help Point at 93 Stations,40.713533,-74.003559,multilocation,"(40.713533, -74.003559)"
T7041412,1,7,Capital Plan 2015 - 2019,New York City Transit,PASSENGER STATIONS,OTHER STATION IMPROVEMENTS,Study for 42nd Street Shuttle,40.754115,-73.982396,base,"(40.754115, -73.982396)"
D802HH07,1,8,Capital Plan 2020 - 2024,Bridges And Tunnels,ROADWAYS & DECKS,HENRY HUDSON BRIDGE,Shared Use Path at the Henry-Hudson Bridge,40.868573,-73.930925,base,"(40.868573, -73.930925)"
T7080630,1,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Help Point at 225 Street Station on the Broadway 7th Avenue Line and 33 -Rawson Street Station on the Flushing Line (SBMP),40.744619,-73.931256,multilocation,"(40.744619, -73.931256)"
T6160605,1,6,Capital Plan 2010 - 2014,New York City Transit,MISC./EMERGENCY,ENVIRONMENTAL AND SAFETY,Fire Sprinkler/Alarm Systems at 11 Employee Facilities,40.84195,-73.873371,multilocation,"(40.84195, -73.873371)"
T8080313,19,8,Capital Plan 2020 - 2024,New York City Transit,SIGNALS & COMMUNICATION,SIGNAL MODERNIZATION,CBTC: Flushing Line Equipment Removals,40.74943,-73.866833,multilocation,"(40.74943, -73.866833)"
T7080301,9,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,SIGNAL MODERNIZATION,Install Communication-Based Train Control on the Queens Boulevard Line West - Phase 2,40.754242,-73.922866,multilocation,"(40.754242, -73.922866)"
T8040717,12,8,Capital Plan 2020 - 2024,New York City Transit,PASSENGER STATIONS,STATION ESCALATORS / ELEVATORS,Replace 19 Elevators at Various Locations,40.735469,-73.990719,multilocation,"(40.735469, -73.990719)"
T6120432,1,6,Capital Plan 2010 - 2014,New York City Transit,DEPOTS,DEPOT IMPROVEMENTS,Replace Paint Booth at Queens Village Bus Depot (SBMP),40.717013,-73.730417,base,"(40.717013, -73.730417)"
T8041217,2,8,Capital Plan 2020 - 2024,New York City Transit,PASSENGER STATIONS,STATION WORK,Platform Components: 2 Locations on the Queens Boulevard Line,40.752085,-73.929012,multilocation,"(40.752085, -73.929012)"
T8050308,5,8,Capital Plan 2020 - 2024,New York City Transit,TRACK,MAINLINE SWITCH REPLACEMENT,Mainline Track Switches 2020 / 4th Avenue,40.654376,-74.004368,multilocation,"(40.654376, -74.004368)"
ET060329,12,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,LINE EQUIPMENT,LINE EQUIPMT MITIGATION: SANDY,Mitigation: 14 Fan Plants and Adjacent Tunnels - Design Only,40.701592,-74.012746,multilocation,"(40.701592, -74.012746)"
T7060502,2,7,Capital Plan 2015 - 2019,New York City Transit,LINE EQUIPMENT,LINE EQUIPMENT,Replace Vent Plant Motor Control System at Various Locations,40.686986,-73.978174,multilocation,"(40.686986, -73.978174)"
D707RK70,1,7,Capital Plan 2015 - 2019,Bridges And Tunnels,STRUCTURAL PAINTING,ROBERT F. KENNEDY BRIDGE,Painting of the Suspended Span/Bronx Truss Steel -  Robert F. Kennedy Bridge,40.799322,-73.92108,base,"(40.799322, -73.92108)"
G5100104,4,5,Capital Plan 2005 - 2009,Capital Construction Company,SECOND AVENUE SUBWAY,FULL LENGTH SECOND AVE SUBWAY,Second Avenue Subway: Contract 6: Systems,40.76406,-73.964765,multilocation,"(40.76406, -73.964765)"
T7080613,8,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Replacement of Public Address/Customer Information Screens Electronics on the Canarsie Line,40.682712,-73.905236,multilocation,"(40.682712, -73.905236)"
T7080610,4,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Help Point at 64 Stations (Transit Wireless),40.820454,-73.936232,multilocation,"(40.820454, -73.936232)"
T7040702,9,7,Capital Plan 2015 - 2019,New York City Transit,PASSENGER STATIONS,STATION ESCALATORS / ELEVATORS,Replace 12 Traction Elevators on the Broadway/7th Avenue Line,40.855473,-73.929683,multilocation,"(40.855473, -73.929683)"
ET060339,2,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,LINE EQUIPMENT,LINE EQUIPMT MITIGATION: SANDY,Mitigation: 17 Fan Plants Wrap-up (2 Locations),40.752103,-73.958411,multilocation,"(40.752103, -73.958411)"
T5090212,7,5,Capital Plan 2005 - 2009,New York City Transit,POWER,SUBSTATIONS,Rehabilitate Underground Substation Hatchways,40.67858,-73.91631,multilocation,"(40.67858, -73.91631)"
T7080610,29,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Help Point at 64 Stations (Transit Wireless),40.827792,-73.925265,multilocation,"(40.827792, -73.925265)"
ET090307,24,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,TRACTION POWER,TRACTIONPOWER MITIGATION:SANDY,Mitigation: Substation Hardening at 24 Locations,40.754361,-73.948107,multilocation,"(40.754361, -73.948107)"
T6080623,9,6,Capital Plan 2010 - 2014,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Passenger Station Local Area Network at 68 Stations,40.755304,-73.987261,multilocation,"(40.755304, -73.987261)"
T7080632,11,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Help Point at 39 Stations (In-House),40.689597,-73.922244,multilocation,"(40.689597, -73.922244)"
ET040331,6,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,PASSENGER STATIONS,STATION MITIGATION: SANDY,Mitigation: Long Term Flood Mitigation Studies at Various Locations,40.719281,-74.006906,multilocation,"(40.719281, -74.006906)"
T8060506,3,8,Capital Plan 2020 - 2024,New York City Transit,LINE EQUIPMENT,LINE EQUIPMENT,Rehab Fan Plant Damper Systems - 7 Locations,40.686986,-73.978174,multilocation,"(40.686986, -73.978174)"
L60304TX,1,6,Capital Plan 2010 - 2014,Long Island Rail Road,TRACK,OTHER TRACK IMPROVEMENTS,Second Track Farmingdale to Ronkonkoma - Phase 1,40.7359834,-73.4411047,multilocation,"(40.7359834, -73.4411047)"
T6060305,21,6,Capital Plan 2010 - 2014,New York City Transit,LINE EQUIPMENT,VENTILATION FACILITIES,Replace Ventilation Controls at 22 Locations,40.701592,-74.012746,multilocation,"(40.701592, -74.012746)"
T7041274,5,7,Capital Plan 2015 - 2019,New York City Transit,PASSENGER STATIONS,STATION WORK,Station Lighting at 6 Locations on Various Lines,40.719281,-74.006906,multilocation,"(40.719281, -74.006906)"
T7030212,15,7,Capital Plan 2015 - 2019,New York City Transit,BUSES,BUS REPLACEMENT,Depot Bus Location System,40.788473,-73.949978,multilocation,"(40.788473, -73.949978)"
ET060227,1,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,LINE EQUIPMENT,LINE EQUIPMENT REPAIRS: SANDY,Recovery: Tunnel Lighting (South Ferry),40.703448,-74.014549,base,"(40.703448, -74.014549)"
T7080640,32,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,B-Division Beacon Train Arrival System - Phase 2,40.688622,-73.985111,multilocation,"(40.688622, -73.985111)"
T8120307,1,8,Capital Plan 2020 - 2024,New York City Transit,DEPOTS,DEPOT REHAB & RECONSTRUCTION,Jamaica Depot: Construct Bus Parking Lot at York College,40.700696,-73.790425,base,"(40.700696, -73.790425)"
T8090410,1,8,Capital Plan 2020 - 2024,New York City Transit,TRACTION POWER,POWER DISTRIBUTION,Installation of Second Negative Rail on the Dyre Line,40.856726,-73.857549,multilocation,"(40.856726, -73.857549)"
T6100450,3,6,Capital Plan 2010 - 2014,New York City Transit,SHOPS AND YARDS,SHOPS AND YARDS,Shop Component Repairs at Various Car Equipment Facilities - Design Only,40.8454,-73.843303,multilocation,"(40.8454, -73.843303)"
G7140113,1,7,Capital Plan 2015 - 2019,Capital Construction Company,REGIONAL INVESTMENTS,REGIONAL INVESTMENTS,Regional Investment to Support ESA: Harold Loop Civil Structures - Part 4,40.750667,-73.934639,base,"(40.750667, -73.934639)"
T6120414,17,6,Capital Plan 2010 - 2014,New York City Transit,DEPOTS,DEPOT IMPROVEMENTS,Automated Fuel Management System Upgrade,40.593788,-73.992231,multilocation,"(40.593788, -73.992231)"
T6160716,2,6,Capital Plan 2010 - 2014,New York City Transit,MISC./EMERGENCY,EMPLOYEE FACILITIES,Automated Fare Control Office Upgrades at 4 Depots - Design Only,40.803473,-73.932073,multilocation,"(40.803473, -73.932073)"
T6120435,3,6,Capital Plan 2010 - 2014,New York City Transit,DEPOTS,DEPOT IMPROVEMENTS,Replacement of 6 Bus Washers at 3 Depots - Design Only,40.706856,-73.895314,multilocation,"(40.706856, -73.895314)"
T6120318,1,6,Capital Plan 2010 - 2014,New York City Transit,DEPOTS,DEPOT REHAB AND RECONSTRUCTION,Upgrade CNG Facility at Jackie Gleason Bus Depot,40.651781,-74.001966,base,"(40.651781, -74.001966)"
T8040712,15,8,Capital Plan 2020 - 2024,New York City Transit,PASSENGER STATIONS,STATION ESCALATORS / ELEVATORS,Replace 17 Escalators at 6 Locations on Various Lines,40.824839,-73.944192,multilocation,"(40.824839, -73.944192)"
T8041226,1,8,Capital Plan 2020 - 2024,New York City Transit,PASSENGER STATIONS,STATION WORK,Ventilator Repairs at Grand Central on the Flushing Line,40.751394,-73.975835,base,"(40.751394, -73.975835)"
G5090115,1,5,Capital Plan 2005 - 2009,Capital Construction Company,EAST SIDE ACCESS,EAST SIDE ACCESS,ESA: 50th Street Ventilation Facility,40.757168,-73.973973,base,"(40.757168, -73.973973)"
M6020101,1,6,Capital Plan 2010 - 2014,Metro-North Railroad,STATIONS,GRAND CENTRAL TERMINAL,Grand Central Trainshed and Park Avenue Tunnel Structure Rehabilitation,40.752999,-73.97706,base,"(40.752999, -73.97706)"
T7080640,76,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,B-Division Beacon Train Arrival System - Phase 2,40.60455,-73.998153,multilocation,"(40.60455, -73.998153)"
D703MP63,1,7,Capital Plan 2015 - 2019,Bridges And Tunnels,TOLL PLAZAS & ATMS,MARINE PARKWAY BRIDGE,Implement Open Road Tolling (ORT) /Cashless Tolling on Marine Parkway Bridge,40.603514,-73.9153,base,"(40.603514, -73.9153)"
ET040310,1,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,PASSENGER STATIONS,STATION MITIGATION: SANDY,Mitigation: Sidewalk Vent Covers (SBFP),40.703168,-74.013012,multilocation,"(40.703168, -74.013012)"
T5041138,1,5,Capital Plan 2005 - 2009,New York City Transit,PASSENGER STATIONS,STATION REHABILITATION,Rehabilitate Morrison-Sound View Avenue Station - Pelham Line,40.829534,-73.874552,base,"(40.829534, -73.874552)"
T7160405,1,7,Capital Plan 2015 - 2019,New York City Transit,MISC./EMERGENCY,MANAGEMENT INFORMATION SYSTEMS,Replace Superdome Server at 2 Broadway,40.704433,-74.012766,base,"(40.704433, -74.012766)"
ET050218,24,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,TRACK,TRACK/SWITCH REPAIRS: SANDY,Recovery: Mainline Switches (200th to 207th Street / 8th Avenue),40.864853,-73.928513,multilocation,"(40.864853, -73.928513)"
EL0502ZC,1,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,COMMUNICATIONS & SIGNALS,COMM/SIGNAL REPAIRS: SANDY,Restoration of the Long Beach Branch,40.660897,-73.702536,multilocation,"(40.660897, -73.702536)"
T7080640,104,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,B-Division Beacon Train Arrival System - Phase 2,40.629151,-73.961616,multilocation,"(40.629151, -73.961616)"
T6080604,45,6,Capital Plan 2010 - 2014,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Public Address/Customer Info Screen Systems,40.693872,-73.851613,multilocation,"(40.693872, -73.851613)"
M8030212,1,8,Capital Plan 2020 - 2024,Metro-North Railroad,TRACK & STRUCTURES,STRUCTURES,Replace South Street and Fulton Ave Bridges (Mt Vernon),40.908215,-73.850759,multilocation,"(40.908215, -73.850759)"
T7080640,133,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,B-Division Beacon Train Arrival System - Phase 2,40.758956,-73.952783,multilocation,"(40.758956, -73.952783)"
T6080649,60,6,Capital Plan 2010 - 2014,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Help Point at 64 Stations,40.867034,-73.893501,multilocation,"(40.867034, -73.893501)"
T5080312,4,5,Capital Plan 2005 - 2009,New York City Transit,SIGNALS AND COMMUNICATIONS,SIGNAL MODERNIZATION,Interlocking 4th Avenue - Culver Line,40.666883,-73.98158,multilocation,"(40.666883, -73.98158)"
T7080640,146,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,B-Division Beacon Train Arrival System - Phase 2,40.744103,-73.949676,multilocation,"(40.744103, -73.949676)"
T7080610,42,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Help Point at 64 Stations (Transit Wireless),40.742614,-73.953552,multilocation,"(40.742614, -73.953552)"
T7080620,20,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Help Point at 49 Stations,40.580924,-73.835456,multilocation,"(40.580924, -73.835456)"
G6090115,1,6,Capital Plan 2010 - 2014,Capital Construction Company,EAST SIDE ACCESS,EAST SIDE ACCESS,ESA: Vertical Circulation Equipment - Elevators and Escalators,40.75332,-73.976998,base,"(40.75332, -73.976998)"
T7120418,6,7,Capital Plan 2015 - 2019,New York City Transit,DEPOTS,DEPOT IMPROVEMENTS,Automated Fuel Management System Upgrade,40.803473,-73.932073,multilocation,"(40.803473, -73.932073)"
L8020422,1,8,Capital Plan 2020 - 2024,Long Island Rail Road,STATIONS,STATIONS AND BUILDINGS,ADA Massapequa Park Station,40.6778539,-73.4546612,base,"(40.6778539, -73.4546612)"
L60904N4,1,6,Capital Plan 2010 - 2014,Long Island Rail Road,MISCELLANEOUS,MISCELLANEOUS,Yaphank Landfill Remediation,40.7958979,-72.9314601,base,"(40.7958979, -72.9314601)"
T7080304,2,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,SIGNAL MODERNIZATION,Install Communication-Based Train Control (CBTC) on the 8 Avenue Line from 59 Street to High Street,40.714375,-74.008382,multilocation,"(40.714375, -74.008382)"
T6160611,11,6,Capital Plan 2010 - 2014,New York City Transit,MISC./EMERGENCY,ENVIRONMENTAL AND SAFETY,Replace Fire Alarm Systems at Various Locations,40.754225,-73.942876,multilocation,"(40.754225, -73.942876)"
T7080610,40,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Help Point at 64 Stations (Transit Wireless),40.713554,-73.990162,multilocation,"(40.713554, -73.990162)"
T8041238,42,8,Capital Plan 2020 - 2024,New York City Transit,PASSENGER STATIONS,STATION WORK,"Station Components: 43 Locations, Phase 1",40.713216,-74.009086,multilocation,"(40.713216, -74.009086)"
T7041204,1,7,Capital Plan 2015 - 2019,New York City Transit,PASSENGER STATIONS,STATION WORK,Renewal of Astoria Boulevard Station on the Astoria Line,40.770328,-73.917776,base,"(40.770328, -73.917776)"
T6080662,52,6,Capital Plan 2010 - 2014,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Upgrade Access Nodes at 60 Stations,40.699903,-73.986818,multilocation,"(40.699903, -73.986818)"
G8100106,1,8,Capital Plan 2020 - 2024,Capital Construction Company,FULL LENGTH SECOND AVE SUBWAY,FULL LENGTH SECOND AVE SUBWAY,SAS 2 Finishes & Fit-out,40.80563,-73.93981,multilocation,"(40.80563, -73.93981)"
T7090225,1,7,Capital Plan 2015 - 2019,New York City Transit,TRACTION POWER,SUBSTATIONS,Renewal of Washington Heights Substation on the 8 Avenue Line - Design Only,40.841923,-73.938468,base,"(40.841923, -73.938468)"
L50401B4,1,5,Capital Plan 2005 - 2009,Long Island Rail Road,LINE STRUCTURES,BRIDGES,"Atlantic Viaduct, Phase I",40.676936,-73.921836,multilocation,"(40.676936, -73.921836)"
T7080640,114,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,B-Division Beacon Train Arrival System - Phase 2,40.613451,-74.000674,multilocation,"(40.613451, -74.000674)"
T6041294,5,6,Capital Plan 2010 - 2014,New York City Transit,PASSENGER STATIONS,STATION WORK,Component Repairs at 6 Stations on the Canarsie Line - Design Only,40.711948,-73.940697,multilocation,"(40.711948, -73.940697)"
T7041219,1,7,Capital Plan 2015 - 2019,New York City Transit,PASSENGER STATIONS,STATION WORK,Renewal of 52 Street Station on the Flushing Line,40.744113,-73.91269,base,"(40.744113, -73.91269)"
T8050336,3,8,Capital Plan 2020 - 2024,New York City Transit,TRACK,MAINLINE SWITCH REPLACEMENT,Mainline Track Switches 2023 / 8th Ave-Fulton,40.770132,-73.980393,multilocation,"(40.770132, -73.980393)"
T8041334,1,8,Capital Plan 2020 - 2024,New York City Transit,PASSENGER STATIONS,ACCESSIBILITY,ADA Accessibility at 242 Street on the Broadway-7 Avenue Line,40.889172,-73.898625,base,"(40.889172, -73.898625)"
T6160611,13,6,Capital Plan 2010 - 2014,New York City Transit,MISC./EMERGENCY,ENVIRONMENTAL AND SAFETY,Replace Fire Alarm Systems at Various Locations,40.734758,-73.989926,multilocation,"(40.734758, -73.989926)"
ET060218,2,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,LINE EQUIPMENT,LINE EQUIPMENT REPAIRS: SANDY,Recovery: 2 Pump Rooms (Southern Manhattan),40.703171,-74.014426,multilocation,"(40.703171, -74.014426)"
L8040201,1,8,Capital Plan 2020 - 2024,Long Island Rail Road,LINE STRUCTURES,TUNNELS,Atlantic Avenue Tunnel Structural Work,40.684416,-73.977087,multilocation,"(40.684416, -73.977087)"
T8050307,1,8,Capital Plan 2020 - 2024,New York City Transit,TRACK,MAINLINE SWITCH REPLACEMENT,Mainline Track Switches 2020 / Pelham,40.85174,-73.829645,multilocation,"(40.85174, -73.829645)"
T8040720,4,8,Capital Plan 2020 - 2024,New York City Transit,PASSENGER STATIONS,STATION ESCALATORS / ELEVATORS,Replace 20 Elevators at 9 Stations,40.779014,-73.981798,multilocation,"(40.779014, -73.981798)"
D704HH19,1,7,Capital Plan 2015 - 2019,Bridges And Tunnels,UTILITIES,HENRY HUDSON BRIDGE,Replacement and Upgrade of Substations - Henry Hudson Bridge - Design Only,40.879626,-73.918644,base,"(40.879626, -73.918644)"
T6041269,1,6,Capital Plan 2010 - 2014,New York City Transit,PASSENGER STATIONS,STATION WORK,Component Repairs at 2 Stations on the Flushing Line - Design Only,40.749146,-73.869629,multilocation,"(40.749146, -73.869629)"
T6041259,1,6,Capital Plan 2010 - 2014,New York City Transit,PASSENGER STATIONS,STATION WORK,Repair of 2 Stairs (NB) at Longwood Avenue on the Pelham Line (SBMP),40.816318,-73.896207,base,"(40.816318, -73.896207)"
ED040207,1,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,UTILITIES,UTILITIES: SANDY,Restoration of Marine Parkway Bridge -electrical equipment damaged by Super Storm Sandy,40.573805,-73.88546,base,"(40.573805, -73.88546)"
T7080640,89,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,B-Division Beacon Train Arrival System - Phase 2,40.586978,-73.954133,multilocation,"(40.586978, -73.954133)"
T7080610,10,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,Help Point at 64 Stations (Transit Wireless),40.814107,-73.940837,multilocation,"(40.814107, -73.940837)"
T6100450,2,6,Capital Plan 2010 - 2014,New York City Transit,SHOPS AND YARDS,SHOPS AND YARDS,Shop Component Repairs at Various Car Equipment Facilities - Design Only,40.842686,-73.873423,multilocation,"(40.842686, -73.873423)"
T7100427,4,7,Capital Plan 2015 - 2019,New York City Transit,SHOPS AND YARDS,SHOPS AND YARDS,Install Yard Closed-Circuit Television Systems - Phase 3,40.842802,-73.841404,multilocation,"(40.842802, -73.841404)"
T6070309,1,6,Capital Plan 2010 - 2014,New York City Transit,LINE STRUCTURES,LINE STRUCTURE REHABILITATION,Overcoat Painting from Portal-E 180 St on the White Plains Road Line,40.815711,-73.916304,base,"(40.815711, -73.916304)"
T6160716,5,6,Capital Plan 2010 - 2014,New York City Transit,MISC./EMERGENCY,EMPLOYEE FACILITIES,Automated Fare Control Office Upgrades at 4 Depots - Design Only,40.717013,-73.730417,multilocation,"(40.717013, -73.730417)"
T7080640,238,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,COMMUNICATIONS SYSTEMS,B-Division Beacon Train Arrival System - Phase 2,40.726243,-74.003708,multilocation,"(40.726243, -74.003708)"
ET040311,6,6,Capital Plan 2010 - 2014,Security / Disaster Recovery,PASSENGER STATIONS,STATION MITIGATION: SANDY,Mitigation: 8 Lower and Upper Manhattan Locations - Design Only,40.718507,-74.000645,multilocation,"(40.718507, -74.000645)"
T8041274,1,8,Capital Plan 2020 - 2024,New York City Transit,PASSENGER STATIONS,STATION WORK,Station Painting: 145 Street on the 8 Avenue Line,40.824839,-73.944192,base,"(40.824839, -73.944192)"
T7080341,25,7,Capital Plan 2015 - 2019,New York City Transit,SIGNALS & COMMUNICATIONS,SIGNAL MODERNIZATION,Install Communication-Based Train Control (CBTC): Lexington Ave Line and Interlockings - Design Only,40.734023,-73.98983,multilocation,"(40.734023, -73.98983)"
T8050339,3,8,Capital Plan 2020 - 2024,New York City Transit,TRACK,MAINLINE SWITCH REPLACEMENT,Mainline Track Switches 2023 / Rockaway,40.680738,-73.84207,multilocation,"(40.680738, -73.84207)"
T8050308,4,8,Capital Plan 2020 - 2024,New York City Transit,TRACK,MAINLINE SWITCH REPLACEMENT,Mainline Track Switches 2020 / 4th Avenue,40.654473,-74.004229,multilocation,"(40.654473, -74.004229)"
L7060465,1,7,Capital Plan 2015 - 2019,Long Island Rail Road,SHOPS AND YARDS,EMPLOYEE FACILITIES,Morris Pk Building 3 Elevator Renewal [SBDP],40.694953,-73.825764,base,"(40.694953, -73.825764)"
T8120305,1,8,Capital Plan 2020 - 2024,New York City Transit,DEPOTS,DEPOT REHAB & RECONSTRUCTION,Roof Topping & Expansion Joint Replacement at Kingsbridge Depot,40.870062,-73.91298,base,"(40.870062, -73.91298)"
G6140101,1,6,Capital Plan 2010 - 2014,Capital Construction Company,REGIONAL INVESTMENTS,REGIONAL INVESTMENTS,Regional Investment to Support ESA: West Bound Bypass and East Bound Re-Route In-House Work,40.748102,-73.929899,base,"(40.748102, -73.929899)"
D701HH07,1,7,Capital Plan 2015 - 2019,Bridges And Tunnels,STRUCTURES,HENRY HUDSON BRIDGE,Structural Rehabilitation Phase II - Henry Hudson Bridge,40.879626,-73.918644,base,"(40.879626, -73.918644)"
T7041402,1,7,Capital Plan 2015 - 2019,New York City Transit,PASSENGER STATIONS,OTHER STATION IMPROVEMENTS,"Access Improvements: Grand Central, Phase 2",40.751394,-73.975835,multilocation,"(40.751394, -73.975835)"
